gene	transcript	n_transcript	n_gene
KHNYN	NM_001290256.1,NM_015299.3,NM_001290257.2	3	1
SDR39U1	NM_001290293.2,NM_020195.2,NM_001308075.1,NM_001290292.1	4	1
CMA1	NM_001836.5,NM_001308083.2	2	1
GZMH	NM_033423.5,NM_001270780.2,NM_001270781.2	3	1
GZMB	NM_004131.6,NR_144343.2,NM_001346011.2	3	1
STXBP6	NM_001304477.1,NM_001351940.1,NM_001351942.1,NM_014178.7,NM_001304476.1,NM_001351943.1,NM_001351941.1	7	1
NOVA1	NM_002515.3,NM_006489.3,NM_001366390.2,NM_001366392.2,NM_001366391.2,NM_001366395.1,NM_001366393.1,NM_001366396.1,NM_001366394.1,NM_001366397.1,NM_001366398.1,NM_006491.2	12	1
LINC02293	NR_110557.1,NR_110556.1	2	1
LOC728755	NR_148991.1,NR_148992.1	2	1
LINC01551	NR_026731.1,NR_026732.1	2	1
PRKD1	NM_001330069.2,NM_001348390.1,NM_002742.3	3	1
G2E3	NM_001308097.1,NM_017769.5	2	1
SCFD1	NM_001283032.1,NM_001283033.1,NM_182835.2,NM_001283031.1,NM_001257376.1,NM_016106.4	6	1
COCH	NM_001135058.1,NM_001347720.1,NM_004086.3	3	1
STRN3	NM_001083893.2,NM_014574.4	2	1
AP4S1	NM_001254729.1,NM_001254726.1,NM_001254727.1,NM_007077.4,NM_001128126.3,NM_001254728.1	6	1
NUBPL	NR_120408.2,NM_025152.3,NM_001201573.1,NM_001201574.1	4	1
ARHGAP5	NM_001030055.2,NM_001173.3	2	1
NPAS3	NM_022123.3,NM_001164749.2,NM_001165893.2,NM_173159.3	4	1
EGLN3	NM_022073.4,NM_001308103.2	2	1
EAPP	NM_001318916.1,NM_018453.4	2	1
SNX6	NM_152233.4,NM_021249.5,NR_159357.1,NR_159358.1,NM_001366519.1	5	1
CFL2	NM_138638.5,NR_028131.1,NM_021914.7,NR_028130.1,NM_001243645.1	5	1
BAZ1A	NM_013448.3,NM_182648.2	2	1
SRP54	NM_001146282.1,NM_003136.4	2	1
LOC101927178+FAM177A1	NM_001079519.1,NM_173607.4,NM_001289022.2,NR_110415.1	4	2
PPP2R3C	NM_017917.3,NM_001305156.1,NR_130972.1,NM_001305155.1	4	1
PRORP	NM_014672.4,NM_001256681.1,NM_001256680.2,NM_001256678.2,NM_001256679.2	5	1
PSMA6	NM_001282234.1,NR_104110.1,NM_001282233.1,NM_001282232.1,NM_002791.3	5	1
RALGAPA1	NM_001346246.2,NM_001346247.2,NM_001346249.2,NM_194301.4,NM_001346245.2,NM_001283044.3,NM_014990.3,NM_001346248.2,NM_001283043.3,NM_001346243.2,NM_001330075.3	11	1
MBIP	NM_001144891.1,NM_001308110.2,NM_016586.3	3	1
SFTA3+NKX2-1	NR_138597.1,NR_161364.1,NR_138601.1,NR_161363.1,NR_138599.1,NR_161365.1,NR_138598.1,NR_161362.1,NR_138600.1,NM_003317.4,NM_001079668.3	11	2
PAX9	NM_006194.3,NM_001372076.1	2	1
SLC25A21	NM_001171170.2,NM_030631.4	2	1
MIPOL1	NM_001195297.1,NM_001195296.2,NM_138731.7	3	1
TTC6	NM_001310135.2,NM_001368142.1	2	1
GEMIN2	NM_001009183.1,NM_001009182.1,NM_003616.2	3	1
TRAPPC6B	NM_001079537.2,NM_177452.4	2	1
MIA2	NM_001329214.3,NM_054024.4,NM_001354145.2,NM_203354.3,NM_001354140.2,NM_001354146.2,NM_001354147.1,NM_001247988.1,NM_203356.2,NM_001354149.1,NR_148721.1,NM_001354142.1,NM_001354148.1,NM_001354150.2,NM_001354137.1,NM_001354139.1,NM_001354138.1,NM_001247989.1,NM_001354143.1,NM_001354156.2,NM_001354157.2,NR_148722.2,NM_001354141.2,NM_005930.4,NM_203355.3,NM_001354155.2,NM_001354154.2,NM_001354153.2,NM_001354152.2,NR_148723.2,NM_001247990.2,NM_001354144.2,NM_001354151.2	33	1
LINC02315	NR_109758.1,NR_109757.1	2	1
LRFN5	NM_001330106.1,NM_001346175.1,NM_001346173.1,NM_152447.4,NR_144388.1,NR_144389.1	6	1
KLHL28	NM_017658.5,NM_001308112.2	2	1
TOGARAM1	NM_001308120.2,NM_015091.4,NR_131765.2	3	1
FANCM	NM_001308133.2,NM_020937.4,NM_001308134.1	3	1
LINC02303	NR_146547.1,NR_146546.1	2	1
LINC00871	NR_102702.1,NR_102701.1,NR_102700.1,NR_102699.1	4	1
MDGA2	NM_182830.4,NM_001113498.2,NR_103766.1	3	1
RPS29	NM_001030001.4,NM_001032.4,NM_001351375.1	3	1
LRR1	NM_203467.1,NR_037793.1,NR_037792.1,NM_152329.4	4	1
DNAAF2	NM_018139.2,NM_001083908.1	2	1
POLE2	NM_001348384.1,NM_001197330.1,NM_001348385.1,NM_002692.4,NM_001197331.2	5	1
NEMF	NM_004713.6,NM_001301732.2	2	1
LINC01599+LINC01588	NR_126497.1,NR_126498.1,NR_126499.1,NR_126496.1,NR_126500.1,NR_131171.1	6	2
VCPKMT	NR_049739.2,NR_049738.2,NM_001040662.2,NM_024558.3	4	1
DMAC2L	NM_001370605.1,NM_015684.4,NM_001003803.3,NM_001003805.3	4	1
CDKL1	NM_004196.5,NM_001367065.1,NM_001367064.1,NM_001282236.2	4	1
MAP4K5	NM_198794.3,NM_006575.5	2	1
ATL1	NM_001127713.1,NM_015915.4,NM_181598.3	3	1
NIN	NM_020921.3,NM_182946.1,NM_016350.4,NM_182944.2	4	1
ABHD12B	NM_001206673.2,NM_181814.1,NM_181533.3	3	1
PYGL	NM_001163940.2,NM_002863.5	2	1
TRIM9	NM_015163.5,NM_052978.4	2	1
FRMD6-AS2	NR_051990.1,NR_047477.2	2	1
FRMD6	NM_001042481.3,NM_001267046.2,NM_152330.4,NM_001267047.1	4	1
GNG2	NM_001243773.2,NM_001243774.2,NM_053064.5	3	1
PTGDR	NM_000953.3,NM_001281469.2	2	1
TXNDC16	NM_001160047.1,NM_020784.3	2	1
GPR137C	NM_001099652.2,NM_001353361.2,NR_148417.2	3	1
PSMC6	NM_001366414.2,NR_158967.2,NM_002806.5	3	1
STYX	NM_145251.4,NM_001130701.2	2	1
FERMT2	NM_001134999.1,NM_006832.3,NM_001135000.2	3	1
DDHD1	NM_001160148.2,NM_001160147.2,NM_030637.3	3	1
BMP4	NM_001347915.1,NM_001347913.1,NM_001347912.1,NM_130850.5,NM_001347916.1,NM_130851.3,NM_001347917.1,NM_001202.6,NM_001347914.1	9	1
CDKN3	NM_001330173.1,NM_001130851.1,NM_005192.4	3	1
SAMD4A	NM_015589.6,NM_001161576.2,NM_001161577.2	3	1
GCH1	NM_001024024.1,NM_001024071.2,NM_000161.3,NM_001024070.2	4	1
WDHD1	NM_001008396.3,NM_007086.4	2	1
SOCS4	NM_199421.2,NM_080867.3	2	1
LGALS3	NM_001357678.2,NM_002306.4,NR_003225.2	3	1
DLGAP5	NM_014750.5,NM_001146015.2	2	1
FBXO34	NM_017943.4,NM_152231.1	2	1
KTN1	NM_004986.4,NM_001079521.2,NR_073128.1,NM_001271014.2,NR_073129.2,NM_001079522.2	6	1
LINC00520	NR_026797.1,NR_026796.1	2	1
OTX2	NM_172337.3,NM_001270525.2,NM_001270524.2,NM_001270523.2,NR_073036.2,NR_073034.2,NM_021728.4	7	1
OTX2-AS1	NR_146411.1,NR_029385.2	2	1
AP5M1	NR_026895.2,NM_018229.4	2	1
CCDC198	NM_001283059.2,NM_001283058.2,NM_018168.4,NM_001283056.2,NM_001283057.2,NM_001283060.2	6	1
SLC35F4	NM_001306087.2,NM_001352014.1,NR_159374.1,NR_159376.1,NM_001352015.2,NR_159373.1,NM_001206920.1,NR_159375.1,NM_001352013.1,NM_001352012.1,NM_001352011.2,NM_001352016.2	12	1
ARMH4	NM_001001872.4,NM_001320173.2	2	1
PSMA3	NR_038123.1,NM_152132.2,NM_002788.4	3	1
PSMA3-AS1	NR_029435.1,NR_029434.1	2	1
ARID4A	NM_023001.2,NM_023000.2,NM_002892.4	3	1
TIMM9	NR_130751.1,NM_001304489.1,NR_130750.1,NM_001304491.1,NM_001304488.1,NM_001304486.1,NM_001304485.1,NM_001304490.1,NR_130753.1,NR_130752.1,NM_012460.4,NM_001304487.1	12	1
KIAA0586	NM_001244191.1,NM_001244189.2,NM_001244190.2,NM_001244192.2,NM_001364701.2,NM_001329945.2,NM_014749.5,NM_001364700.1,NM_001329946.2,NM_001329944.2,NM_001329943.3,NM_001329947.2,NM_001244193.1	13	1
DACT1	NR_046093.2,NM_001079520.2,NM_016651.6,NR_046095.1	4	1
DAAM1	NM_001270520.2,NM_014992.2	2	1
L3HYPDH	NM_144581.2,NR_138575.2,NM_001331164.2,NM_001331158.1,NR_138572.1,NR_138571.1,NM_001331159.1,NR_138574.1	8	1
JKAMP	NM_001284202.1,NM_001284204.1,NM_001098625.2,NM_001284203.1,NM_001284201.1,NM_016475.5	6	1
RTN1	NM_001363702.1,NM_206852.2,NM_021136.3	3	1
LRRC9	NR_075071.1,NM_001355272.2	2	1
PCNX4	NM_022495.5,NM_001330177.2	2	1
DHRS7	NM_001322281.1,NM_016029.4,NM_001322282.1,NM_001322280.1	4	1
PPM1A	NM_177952.3,NM_021003.5,NM_177951.3	3	1
MNAT1	NM_002431.4,NM_001177963.2	2	1
TRMT5	NM_020810.3,NM_001350253.1,NM_001350254.1	3	1
SLC38A6	NM_001172702.1,NM_153811.2,NR_033344.2	3	1
LINC01303	NR_110417.1,NR_110416.1	2	1
HIF1A	NM_001530.4,NM_181054.3,NM_001243084.1	3	1
SYT16	NM_001367650.1,NM_001367661.1,NM_001367659.1,NM_001367656.1,NM_001367654.1,NM_001367652.1,NM_001367657.1,NM_001367663.1	8	1
KCNH5	NM_172375.3,NM_139318.5	2	1
PPP2R5E	NM_001282181.2,NM_001282182.3,NR_104104.3,NM_006246.5,NM_001282179.3,NM_001282180.3,NM_001354926.1	7	1
WDR89	NM_080666.4,NM_001008726.3,NM_001258272.2	3	1
SYNE2	NM_182914.2,NM_015180.5,NM_182913.3,NM_182910.2	4	1
ESR2	NM_001291712.2,NR_073496.2,NM_001214902.1,NM_001291723.1,NM_001040275.1,NM_001271876.1,NR_073497.1,NM_001271877.1,NM_001437.2	9	1
MTHFD1	NM_005956.4,NM_001364837.1	2	1
ZBTB25	NM_001304508.1,NM_001354686.2,NM_001354685.2,NM_001354682.2,NM_006977.5,NM_001354684.2,NM_001354687.1,NM_001304507.1,NM_001354683.2	9	1
ZBTB1	NM_001123329.1,NM_014950.3	2	1
MIR7855+SPTB	NM_001024858.3,NM_001355436.2,NM_001355437.2,NR_107009.1	4	2
CHURC1+FNTB+CHURC1-FNTB	NM_001204063.1,NM_001204064.1,NM_001202559.1,NM_145165.3,NM_001202558.2,NM_002028.4	6	3
GPX2	NR_138078.2,NR_046321.2,NM_002083.4,NR_046320.2	4	1
RAB15	NM_198686.3,NM_001308154.2,NM_001330182.2	3	1
MAX	NM_197957.3,NM_001271069.1,NR_073137.1,NM_145113.3,NM_145112.3,NM_001320415.2,NM_002382.5,NM_145114.2,NR_073138.1,NM_001271068.1	10	1
FUT8	NM_004480.4,NR_038167.1,NM_178156.2,NM_001371534.1,NM_001371536.1,NM_178155.3,NM_001371533.1	7	1
CCDC196	NM_001351576.1,NR_110308.1,NR_110307.1,NR_024338.2	4	1
GPHN	NM_020806.4,NM_001024218.1	2	1
MPP5	NM_022474.4,NM_001256550.2	2	1
TMEM229B	NM_001348546.1,NM_182526.2,NM_001348542.2,NM_001348547.2,NM_001348544.2,NM_001348548.2,NM_001348549.2,NM_001348543.2,NM_001348541.2	9	1
PIGH	NM_001363694.1,NM_004569.5	2	1
RDH11	NM_016026.4,NM_001252650.2	2	1
RAD51B	NM_001321818.1,NM_001321817.2,NM_002877.6,NM_001321819.1,NM_001321809.1,NM_001321814.1,NM_133509.4,NM_133510.4,NM_001321821.1,NM_001321810.1,NM_001321812.1,NM_001321815.1	12	1
ZFP36L1	NM_001244701.1,NM_001244698.1,NM_004926.4	3	1
ACTN1	NM_001130004.1,NM_001102.4,NM_001130005.2	3	1
DCAF5	NM_003861.3,NM_001284206.1,NM_001284207.1,NM_001284208.2	4	1
EXD2	NM_001193360.1,NR_034164.1,NM_001193361.1,NM_018199.3,NR_034165.1,NM_001193362.1,NM_001193363.1	7	1
GALNT16	NM_020692.3,NM_001168368.2	2	1
SLC39A9	NM_001252152.2,NM_001252151.2,NM_001330185.2,NM_001252150.2,NM_001252148.2,NM_018375.5	6	1
SRSF5	NM_001320214.2,NM_006925.5,NM_001039465.2	3	1
SMOC1	NM_022137.6,NM_001034852.3	2	1
SLC8A3	NM_183002.3,NM_058240.4,NR_104122.2,NM_001130417.3,NM_182936.3,NM_182932.3,NM_033262.4	7	1
SYNJ2BP+SYNJ2BP-COX16+COX16	NM_001202548.2,NM_001204090.2,NM_016468.7,NM_001202549.2,NM_001202547.2,NM_018373.3	6	3
MED6	NM_005466.3,NM_001284211.1,NM_001284209.1,NM_001284210.1	4	1
MAP3K9	NM_001284232.1,NM_001284231.1,NM_033141.4,NM_001284230.1	4	1
PCNX1	NM_014982.3,NM_001308160.2	2	1
SIPA1L1	NM_015556.4,NM_001354286.2,NM_001354285.2,NM_001354288.2,NM_001354289.2,NM_001284245.3,NM_001354287.2,NM_001284247.3,NM_001284246.2	9	1
RGS6	NM_001370289.1,NM_001370270.1,NM_001204423.2,NM_001370280.1,NM_001204424.2,NM_001370282.1,NM_001370273.1,NM_001370291.1,NM_001370286.1,NM_001370292.1,NM_001370287.1,NM_001370294.1,NM_001370275.1,NM_001204422.3,NM_001204417.3,NM_001370278.1,NM_001370276.1,NM_001370274.1,NM_001204420.3,NM_001370281.1,NM_001370283.1,NM_001204418.3,NM_001370279.1,NM_004296.7,NM_001370272.1,NM_001204419.3,NR_135235.2,NM_001370290.1,NM_001204416.3,NM_001204421.3,NM_001370284.1,NM_001370271.1,NM_001370277.1,NM_001370293.1,NM_001370288.1	35	1
DPF3	NM_001280542.1,NM_001280543.1,NM_001280544.1,NM_012074.5	4	1
DCAF4	NM_001163509.2,NM_001352449.2,NM_181341.3,NR_147990.2,NM_181340.3,NM_015604.4,NM_001352447.2,NM_001163508.2,NM_001352448.2	9	1
ZFYVE1	NM_178441.2,NM_001281735.1,NM_021260.4,NM_001281734.2	4	1
PSEN1	NM_007318.3,NM_000021.4	2	1
PAPLN	NR_158678.2,NM_173462.4,NR_158677.2,NM_001365907.2,NM_001365906.2	5	1
NUMB	NM_001005745.1,NM_001320114.1,NM_001005743.1,NM_003744.5,NM_001005744.1	5	1
HEATR4	NM_001220484.1,NM_203309.2	2	1
ACOT2	NR_046028.1,NM_006821.5,NM_001364177.1,NM_001364178.1	4	1
ACOT6	NM_001365789.1,NM_001365788.1,NM_001037162.1	3	1
DNAL1	NM_031427.4,NM_001201366.2	2	1
ELMSAN1	NM_001043318.3,NM_001367710.1,NM_194278.3	3	1
PTGR2	NM_001371327.1,NM_001146154.2,NM_001371334.1,NM_001371330.1,NM_001371335.1,NR_163921.1,NM_001371329.1,NM_001371328.1,NM_001371326.1,NM_001146155.3,NM_152444.4,NM_001371331.1,NM_001371332.1,NM_001371325.1	14	1
ZNF410	NM_001242926.2,NM_021188.3,NM_001242924.2,NM_001242928.2,NM_001242927.2,NR_040251.2	6	1
COQ6	NM_182480.2,NM_182476.3	2	1
ENTPD5	NM_001330189.2,NM_001321984.2,NM_001321986.2,NM_001321985.2,NM_001321987.2,NM_001249.4,NM_001321988.2	7	1
ALDH6A1	NM_001278593.2,NM_001278594.2,NM_005589.4	3	1
LIN52	NM_001024674.3,NM_001372006.1,NM_001372005.1	3	1
ABCD4	NM_001353604.2,NR_148474.2,NR_148471.2,NM_001353595.2,NM_001353592.2,NM_001353591.2,NM_001353593.2,NR_148466.2,NM_001353594.2,NR_148468.2,NM_001353599.2,NM_001353596.2,NM_020325.3,NM_020324.3,NM_001353607.2,NM_001353605.2,NR_148472.2,NM_001353598.2,NM_001353610.2,NM_001353601.2,NM_001353603.2,NR_148470.2,NR_148469.2,NR_148473.2,NR_148467.2,NM_001353608.2,NM_001353597.2,NM_001353600.2,NM_001353606.2,NM_005050.4,NM_001353602.2,NR_003256.3,NM_001353609.2	33	1
MIR4709+NPC2	NM_006432.4,NM_001363688.1,NR_039858.1	3	2
ISCA2	NM_001272007.1,NM_194279.4	2	1
FCF1	NM_015962.5,NM_001318508.2	2	1
PROX2	NM_001080408.2,NM_001243007.1	2	1
DLST	NR_033814.2,NR_045209.2,NM_001244883.2,NM_001933.5	4	1
RPS6KL1	NR_163405.1,NR_163406.1,NM_001370252.1,NR_163404.1,NM_001370255.1,NM_001370257.1,NM_001370253.1,NM_001370258.1,NM_031464.5,NM_001370256.1	10	1
PGF	NM_002632.5,NM_001293643.1,NM_001207012.1	3	1
MLH3	NM_001040108.1,NM_014381.3	2	1
ACYP1	NM_001302617.2,NM_001302616.2,NR_126393.2,NR_126395.2,NR_126394.2,NM_001107.5	6	1
ZC2HC1C	NM_001330191.2,NM_024643.4,NM_001042430.3,NR_110315.2	4	1
NEK9	NM_033116.6,NM_001329237.2,NM_001329238.2	3	1
JDP2	NM_001135047.2,NM_001135048.2,NM_130469.3,NM_001135049.1	4	1
FLVCR2	NM_017791.3,NM_001195283.2	2	1
TGFB3	NM_001329939.1,NM_003239.4,NM_001329938.2	3	1
IFT43	NR_045665.1,NR_045664.1,NM_001102564.1,NM_001255995.2,NM_052873.3	5	1
GPATCH2L	NM_001322031.1,NM_001322029.1,NM_001322032.1,NM_001322027.2,NM_001322026.2,NM_017926.4,NM_001322030.2,NM_001322028.2,NR_110314.1,NM_017972.3	10	1
VASH1-AS1+ANGEL1	NR_104183.1,NR_104184.1,NM_001370748.1,NM_015305.4,NM_001370747.1,NM_001370746.1	6	2
ZDHHC22	NM_001364172.1,NM_174976.2	2	1
GSTZ1	NM_145871.3,NM_145870.3,NM_001312660.2,NM_001363703.2	4	1
TMED8	NM_001346134.1,NM_001346131.2,NM_213601.3,NM_001346133.2	4	1
VIPAS39	NM_001193317.2,NM_001193316.2,NM_001193314.2,NM_022067.4,NM_001193315.1	5	1
AHSA1	NM_001321441.2,NM_012111.3	2	1
ISM2	NM_182509.4,NM_199296.3	2	1
SLIRP	NM_001267863.1,NM_001267864.1,NM_031210.6,NR_052025.2	4	1
SNW1	NM_001318844.2,NM_012245.3	2	1
C14orf178	NR_161323.1,NR_161324.1	2	1
ADCK1	NM_020421.4,NM_001366487.2,NM_001366488.2,NR_158987.2,NR_158988.2,NM_001142545.2,NM_001366486.2,NR_158989.2,NM_001366489.2,NM_001366490.2,NM_001366485.2	11	1
NRXN3	NM_001366425.1,NM_001366426.1,NM_001330195.2,NR_158973.1,NR_158975.1,NR_158974.1,NR_073547.2,NM_004796.6,NM_001105250.3,NR_073546.2,NM_001272020.2,NM_138970.5	12	1
DIO2	NM_001366496.1,NR_158990.1,NM_000793.6,NR_158991.1,NM_013989.5,NM_001324462.2	6	1
CEP128	NR_157142.1,NM_152446.5	2	1
TSHR	NM_000369.3,NM_001142626.3,NM_001018036.3	3	1
GTF2A1	NM_201595.3,NM_001278940.2,NM_015859.4	3	1
STON2	NM_001256430.2,NM_001366850.2,NM_001366849.2	3	1
SEL1L	NM_005065.6,NM_001244984.1	2	1
LINC00911	NR_102737.1,NR_102738.1	2	1
FLRT2	NR_144386.1,NR_144387.1,NM_001346144.2,NM_001346146.2,NM_013231.6,NM_001346145.1,NR_144385.1,NM_001346143.2	8	1
GALC	NM_001201402.1,NM_001201401.1,NM_000153.4	3	1
KCNK10	NM_021161.4,NM_138317.3,NM_138318.2	3	1
SPATA7	NM_001040428.3,NM_018418.5	2	1
ZC3H14	NM_001326310.2,NM_001326311.2,NM_001326297.2,NM_001326295.2,NM_001326307.2,NM_001326304.2,NM_001326309.2,NM_001326296.2,NR_136936.2,NM_001160104.2,NM_024824.5,NM_001326298.2,NM_001326315.2,NM_001326312.2,NM_001326301.2,NM_001326313.2,NM_001326303.2,NM_207660.4,NM_001326302.2,NM_001326308.2,NM_001326300.2,NM_001326306.2,NM_001326299.2,NM_001326305.2,NM_001326314.2,NM_001160103.2,NM_207661.2,NM_001326316.1,NM_207662.4	29	1
TTC8	NM_198310.3,NM_001288781.1,NM_144596.3,NM_001288782.1,NM_001288783.1,NM_198309.3,NM_001366536.2,NR_159362.2,NM_001366535.2	9	1
FOXN3	NM_005197.4,NM_001085471.2	2	1
EFCAB11	NM_145231.4,NM_001284269.2,NM_001284267.1,NM_001284266.2,NM_001284268.2	5	1
TDP1	NM_001008744.2,NM_001330205.2,NM_018319.4	3	1
PSMC1	NM_002802.3,NM_001330212.1	2	1
CALM1	NM_001363669.1,NM_006888.6,NM_001363670.1	3	1
LINC02317	NR_146492.1,NR_146493.1	2	1
TTC7B	NM_001010854.2,NM_001320421.1	2	1
RPS6KA5	NM_001322237.2,NM_001322227.2,NM_001322233.2,NM_001322229.2,NM_004755.4,NM_001322230.2,NM_001322231.2,NM_001322228.2,NM_001322232.2,NM_001322236.2,NM_001322234.2,NM_001322235.2,NM_001322238.2,NM_182398.2	14	1
DGLUCY	NM_001358310.1,NM_001358312.1,NM_001358311.1,NM_001286472.1,NM_001102366.2,NM_001286470.1,NM_024952.7,NM_001102368.2,NM_001102369.2,NM_001286473.2,NM_001102367.2,NM_001286471.1	12	1
GPR68	NM_001348437.1,NM_003485.3,NM_001177676.2	3	1
PPP4R3A	NR_158976.1,NM_001366432.1,NM_001284281.1,NM_001284280.1	4	1
TC2N	NM_001128596.3,NM_001128595.3,NM_152332.6,NM_001289134.2	4	1
TRIP11	NM_004239.4,NM_001321851.1	2	1
ATXN3	NR_028463.2,NM_001164782.2,NR_028460.2,NR_028453.2,NR_028461.2,NR_028458.2,NR_028464.2,NR_028454.2,NR_028466.2,NR_028455.2,NR_028462.2,NM_001164779.2,NR_028468.2,NM_001164780.2,NM_030660.5,NM_001164776.2,NR_028469.2,NM_001164774.2,NR_028459.2,NR_028467.2,NM_001127697.2,NM_001127696.2,NR_028456.2,NM_001164777.2,NM_004993.6,NM_001164781.1,NR_031765.2,NR_028465.2,NR_028470.2,NM_001164778.2,NR_028457.2	31	1
CPSF2	NM_001322270.2,NM_001322271.2,NM_017437.3,NM_001322272.2	4	1
SLC24A4	NM_153648.3,NM_153647.4,NM_153646.3	3	1
RIN3	NM_024832.5,NM_001319987.1	2	1
LGMN	NM_001008530.3,NM_001363696.2,NM_001363699.2,NM_005606.7	4	1
CHGA	NM_001301690.2,NM_001275.4	2	1
ITPK1	NM_001142594.3,NM_014216.6,NM_001142593.3,NM_001363707.1	4	1
TMEM251	NM_001098621.3,NM_015676.3	2	1
UBR7	NR_038150.1,NM_175748.4	2	1
BTBD7	NM_001002860.4,NM_001289133.2,NM_018167.5	3	1
COX8C+UNC79	NM_020818.5,NR_144398.1,NM_182971.3,NM_001346218.2	4	2
FAM181A	NM_001207071.2,NM_138344.5,NM_001207072.2,NM_001207074.2,NM_001207073.2	5	1
ASB2	NM_016150.5,NM_001202429.2	2	1
CCDC197	NR_024182.1,NM_001351596.2,NR_024184.2,NR_024183.2	4	1
IFI27L1	NM_206949.3,NM_145249.3	2	1
IFI27	NM_005532.5,NM_001366994.1,NM_001288960.2,NM_001288954.2,NM_001288958.2,NM_001288995.2,NM_001288957.2,NM_001366993.1	8	1
PPP4R4	NM_020958.2,NM_001348145.1,NM_058237.2,NM_001348144.2,NR_145441.2,NM_001348143.2,NM_001348142.1	7	1
SERPINA10	NM_001100607.3,NM_016186.2	2	1
SERPINA1	NM_001002235.3,NM_000295.5,NM_001127704.2,NM_001127702.2,NM_001002236.3,NM_001127705.2,NM_001127706.2,NM_001127701.2,NM_001127700.2,NM_001127707.2,NM_001127703.2	11	1
SERPINA9	NM_001284276.2,NM_001042518.2,NM_001284275.2,NM_175739.4	4	1
SERPINA12	NM_001304461.2,NM_173850.4	2	1
SERPINA4	NM_001289033.2,NM_001289032.2,NM_006215.4	3	1
DICER1	NM_001291628.1,NM_001195573.1,NM_001271282.3,NM_177438.2,NM_030621.4	5	1
SYNE3	NM_001363692.1,NM_152592.5	2	1
SNHG10+SCARNA13	NR_001459.2,NR_003138.3,NR_003002.1	3	2
LINC02318	NR_146450.1,NR_146449.1	2	1
TCL6	NR_028288.2,NR_152604.1	2	1
TCL1A	NM_021966.3,NR_049726.2,NM_001098725.2	3	1
TUNAR	NR_132399.1,NR_132398.1,NR_038861.1	3	1
C14orf132	NM_001282464.1,NM_001289139.2,NM_001282463.2,NM_001252507.3	4	1
GSKIP	NM_001271906.1,NM_001271905.1,NM_016472.5,NM_001271904.1	4	1
AK7	NM_001350892.2,NM_152327.5,NM_001350891.2,NM_001350890.2,NM_001350888.2	5	1
PAPOLA	NM_001252006.1,NM_001252007.1,NM_032632.4,NM_001293627.1,NM_001363665.2,NM_001363662.2,NM_001293632.2,NM_001363666.2,NM_001363664.2,NM_001293628.1	10	1
LINC02325	NR_110166.1,NR_110165.1	2	1
LINC01550	NR_015430.2,NR_152750.1,NR_152749.1,NR_152746.1,NR_152747.1,NR_152748.1	6	1
C14orf177	NR_161369.1,NR_161367.1,NR_161368.1	3	1
BCL11B	NM_001282237.2,NM_022898.3,NM_138576.4,NM_001282238.2	4	1
SETD3	NM_032233.3,NM_199123.2	2	1
HHIPL1	NM_001329411.2,NM_032425.5,NM_001127258.2	3	1
EML1	NM_001008707.2,NM_004434.3	2	1
EVL	NM_001330221.2,NM_016337.3	2	1
SLC25A29	NM_001352821.2,NM_001291814.2,NM_152333.4,NM_001291813.2,NM_001352822.2,NM_001352823.2,NM_001039355.3,NM_001352820.2	8	1
SLC25A47	NM_207117.4,NM_001350877.2	2	1
WARS1	NM_213646.2,NM_213645.2,NM_173701.2,NM_004184.4	4	1
WDR25	NM_001350949.1,NM_001350948.1,NM_001161476.2,NM_001350950.1,NM_001350947.2,NM_024515.6	6	1
BEGAIN	NM_001159531.1,NM_020836.4	2	1
DLK1	NM_003836.6,NM_001317172.2	2	1
MEG3+MIR770	NR_046465.2,NR_046466.1,NR_046472.1,NR_046470.2,NR_033358.1,NR_033359.1,NR_002766.2,NR_046467.1,NR_046464.1,NR_046471.1,NR_033360.1,NR_003530.2,NR_046469.1,NR_046473.1,NR_003531.3,NR_030528.1	16	2
DIO3OS+MIR1247	NR_152588.1,NR_152591.1,NR_152593.1,NR_152589.1,NR_152592.1,NR_152590.1,NR_031649.1	7	2
PPP2R5C	NM_001352914.2,NM_001161726.2,NM_001352913.2,NM_001161725.1,NM_001352915.1,NM_001352912.1,NM_178587.3,NM_178586.3,NM_001352916.2,NM_002719.4	10	1
HSP90AA1	NM_005348.4,NM_001017963.3	2	1
WDR20	NM_001353662.2,NM_001353668.2,NM_001353669.2,NM_001353670.2,NM_001330228.2,NM_001242417.2,NM_001242416.2,NR_148510.2,NM_001353672.2,NM_001353664.2,NM_001353667.2,NM_001353676.2,NM_001353679.2,NM_001353678.2,NM_001353661.2,NM_181308.3,NM_001353666.2,NR_148511.2,NM_001353674.2,NM_144574.4,NM_001353671.2,NM_001242415.2,NM_001353675.2,NM_001320130.2,NM_001353681.2,NM_001353663.2,NM_001242418.2,NM_001353680.2,NM_001353660.2,NM_001353656.2,NM_181291.3,NM_001353658.2,NR_038354.2,NM_001353665.2,NM_001353659.2,NM_001353673.2,NM_001242414.2,NM_001353657.2,NM_001353677.2	39	1
MOK	NR_148555.2,NR_148553.2,NR_073540.3,NR_148556.2,NR_148554.2,NR_148552.2,NM_001272011.2,NM_014226.3,NM_001353829.2,NR_073542.2,NM_001353830.2,NM_001353831.2,NR_073541.2,NM_001353827.2,NR_073543.2,NM_001353832.2,NM_001330234.2,NM_001353828.2	18	1
ZNF839	NM_001267827.1,NM_001267828.1,NM_018335.5	3	1
