gene	transcript	n_transcript	n_gene
OR5T3	NM_001004747.1	1	1
OR5T1	NM_001004745.1	1	1
OR8H1	NM_001005199.1	1	1
OR8K3	NM_001005202.1	1	1
OR8K1	NM_001002907.1	1	1
OR8J1	NM_001005205.2	1	1
OR8U1	NM_001005204.1	1	1
OR5R1	NM_001004744.1	1	1
OR5M9	NM_001004743.1	1	1
OR5M3	NM_001004742.2	1	1
OR5M8	NM_001005282.1	1	1
OR5M11	NM_001005245.1	1	1
OR5M10	NM_001004741.1	1	1
OR5M1	NM_001004740.1	1	1
OR5AP2	NM_001002925.1	1	1
OR5AR1	NM_001004730.1	1	1
OR9G1	NM_001005213.1	1	1
OR9G4	NM_001005284.1	1	1
MIR6128	NR_106743.1	1	1
OR5AK2	NM_001005323.1	1	1
OR5AK4P	NR_036445.1	1	1
LRRC55	NM_001005210.4	1	1
TNKS1BP1	NM_033396.3	1	1
SSRP1	NM_003146.3	1	1
P2RX3	NM_002559.5	1	1
PRG3	NM_006093.4	1	1
RTN4RL2	NM_178570.3	1	1
TIMM10	NM_012456.3	1	1
SMTNL1	NM_001105565.2	1	1
MIR130A	NR_029673.1	1	1
ZDHHC5	NM_015457.3	1	1
BTBD18	NM_001145101.1	1	1
OR9Q1	NM_001005212.4	1	1
OR6Q1	NM_001005186.2	1	1
OR9I1	NM_001005211.1	1	1
OR9Q2	NM_001005283.2	1	1
OR1S2	NM_001004459.1	1	1
OR1S1	NM_001004458.1	1	1
OR10Q1	NM_001004471.2	1	1
OR10W1	NM_207374.3	1	1
OR5B17	NM_001005489.2	1	1
OR5B3	NM_001005469.1	1	1
OR5B2	NM_001005566.2	1	1
OR5B12	NM_001004733.2	1	1
OR5B21	NM_001005218.1	1	1
GLYATL2	NM_145016.4	1	1
LOC283194	NR_033853.2	1	1
GLYATL1B	NM_001355566.1	1	1
FAM111A-DT	NR_110184.1	1	1
MPEG1	NM_001039396.2	1	1
OR5AN1	NM_001004729.1	1	1
OR5A2	NM_001001954.1	1	1
OR5A1	NM_001004728.1	1	1
OR4D6	NM_001004708.1	1	1
OR4D10	NM_001004705.1	1	1
OR4D11	NM_001004706.1	1	1
OR4D9	NM_001004711.1	1	1
OSBP	NM_002556.3	1	1
MIR3162	NR_036120.1	1	1
PATL1	NM_152716.3	1	1
OR10V1	NM_001005324.1	1	1
OR10V2P	NR_045005.1	1	1
MRPL16	NM_017840.4	1	1
CBLIF	NM_005142.3	1	1
TCN1	NM_001062.4	1	1
OOSP1	NR_130719.1	1	1
OOSP4B	NM_001368161.2	1	1
OOSP2	NM_173801.5	1	1
MS4A4E	NM_001351235.2	1	1
MIR6503	NR_106758.1	1	1
MS4A6E	NM_139249.2	1	1
MS4A5	NM_023945.3	1	1
LINC00301	NR_026946.1	1	1
MS4A8	NM_031457.2	1	1
MS4A18	NM_001354471.1	1	1
MS4A10	NM_206893.4	1	1
CCDC86	NM_024098.4	1	1
PTGDR2	NM_004778.3	1	1
ZP1	NM_207341.3	1	1
PRPF19	NM_014502.5	1	1
TMEM109	NM_024092.3	1	1
VPS37C	NM_017966.5	1	1
PGA3	NM_001079807.4	1	1
PGA4	NM_001079808.3	1	1
PGA5	NM_014224.4	1	1
VWCE	NM_152718.2	1	1
DDB1	NM_001923.5	1	1
SDHAF2	NM_017841.2	1	1
MIR4488	NR_039708.1	1	1
LRRC10B	NM_001145077.2	1	1
LOC101927495	NR_110189.1	1	1
RPLP0P2	NR_002775.2	1	1
DAGLA	NM_006133.3	1	1
MYRF-AS1	NR_026882.1	1	1
FEN1	NM_004111.6	1	1
FADS1	NM_013402.7	1	1
MIR1908	NR_031729.1	1	1
FADS3	NM_021727.5	1	1
MIR6746	NR_106804.1	1	1
FTH1	NM_002032.3	1	1
SCGB1D1	NM_006552.2	1	1
SCGB2A1	NM_002407.3	1	1
SCGB1D2	NM_006551.4	1	1
SCGB2A2	NM_002411.4	1	1
SCGB1D4	NM_206998.2	1	1
SCGB1A1	NM_003357.5	1	1
EEF1G	NM_001404.5	1	1
MIR6747	NR_106805.1	1	1
ROM1	NM_000327.3	1	1
INTS5	NM_030628.2	1	1
CSKMT	NM_001043229.2	1	1
SNORA57	NR_004390.1	1	1
UQCC3	NM_001085372.3	1	1
LRRN4CL	NM_203422.4	1	1
GNG3	NM_012202.5	1	1
POLR2G	NM_002696.3	1	1
TAF6L	NM_006473.4	1	1
MIR6748	NR_106806.1	1	1
TMEM223	NM_001080501.3	1	1
MIR6514	NR_106769.1	1	1
LOC105369332	NR_135084.1	1	1
SNORD22	NR_000008.2	1	1
SNORD31	NR_002560.1	1	1
SNORD30	NR_002561.1	1	1
SNORD29	NR_002559.1	1	1
SNORD28	NR_002562.1	1	1
SNORD27	NR_002563.1	1	1
SNORD26	NR_002564.1	1	1
CHRM1	NM_000738.3	1	1
SLC22A25	NM_199352.4	1	1
SLC22A9	NM_080866.3	1	1
PLAAT4	NM_004585.5	1	1
PLAAT2	NM_017878.2	1	1
C11orf95	NM_001144936.2	1	1
SPINDOC	NM_138471.3	1	1
COX8A	NM_004074.3	1	1
MACROD1	NM_014067.4	1	1
FLRT1	NM_013280.4	1	1
PPP1R14B	NM_138689.3	1	1
CCDC88B	NM_032251.6	1	1
MIR7155	NR_106977.1	1	1
MIR1237	NR_031602.1	1	1
LINC02724	NR_073177.1	1	1
CDC42BPG	NM_017525.3	1	1
MIR6750	NR_106808.1	1	1
MIR6749	NR_106807.1	1	1
PPP2R5B	NM_006244.4	1	1
GPHA2	NM_130769.4	1	1
MIR6879	NR_106939.1	1	1
NAALADL1	NM_005468.3	1	1
CDCA5	NM_080668.4	1	1
ZFPL1	NM_006782.4	1	1
ZNHIT2	NM_014205.4	1	1
FAU	NM_001997.5	1	1
MIR6751	NR_106809.1	1	1
SPDYC	NM_001008778.2	1	1
LOC728975	NR_145677.1	1	1
SLC22A20P	NR_033396.1	1	1
POLA2	NM_002689.4	1	1
CDC42EP2	NM_006779.4	1	1
TIGD3	NM_145719.3	1	1
TALAM1	NR_145459.1	1	1
ZNRD2-AS1	NR_038923.1	1	1
MAP3K11	NM_002419.4	1	1
PCNX3	NM_032223.3	1	1
MIR4690	NR_039839.1	1	1
MIR4489	NR_039709.1	1	1
RNASEH2C	NM_032193.4	1	1
AP5B1	NM_138368.5	1	1
OVOL1	NM_004561.4	1	1
OVOL1-AS1	NR_108085.1	1	1
SNX32	NM_152760.3	1	1
CFL1	NM_005507.3	1	1
CTSW	NM_001335.4	1	1
CCDC85B	NM_006848.3	1	1
DRAP1	NM_006442.4	1	1
TSGA10IP	NM_152762.2	1	1
SART1	NM_005146.5	1	1
CST6	NM_001323.4	1	1
CATSPER1	NM_053054.4	1	1
GAL3ST3	NM_033036.3	1	1
SF3B2	NM_006842.3	1	1
SNORD13F	NR_145738.1	1	1
PACS1	NM_018026.4	1	1
RAB1B	NM_030981.3	1	1
TMEM151A	NM_153266.4	1	1
CD248	NM_020404.3	1	1
B4GAT1	NM_006876.3	1	1
LOC102724064	NR_135761.1	1	1
LOC101928069	NR_120586.1	1	1
BBS1	NM_024649.5	1	1
CTSF	NM_003793.4	1	1
CCDC87	NM_018219.3	1	1
CCS	NM_005125.2	1	1
SPTBN2	NM_006946.3	1	1
MIR3163	NR_036121.1	1	1
MIR6860	NR_106920.1	1	1
LOC107984341	NR_160735.1	1	1
GRK2	NM_001619.5	1	1
SSH3	NM_017857.4	1	1
LOC100130987	NR_024469.1	1	1
RPS6KB2	NM_003952.3	1	1
GPR152	NM_206997.1	1	1
MIR6752	NR_106810.1	1	1
GSTP1	NM_000852.4	1	1
C11orf72	NR_130935.1	1	1
DOC2GP	NR_033791.1	1	1
TBX10	NM_005995.4	1	1
ACY3	NM_080658.2	1	1
FAM86C2P	NR_024249.1	1	1
UNC93B1	NM_030930.4	1	1
NDUFS8	NM_002496.4	1	1
MIR7113	NR_106963.1	1	1
MIR4691	NR_039840.1	1	1
MIR6753	NR_106811.1	1	1
GAL	NM_015973.5	1	1
IGHMBP2	NM_002180.2	1	1
MRGPRD	NM_198923.2	1	1
MRGPRF-AS1	NR_120541.1	1	1
TPCN2	NM_139075.4	1	1
MIR3164	NR_036122.1	1	1
LOC338694	NR_104161.1	1	1
LOC102724265	NM_001319657.2	1	1
CCND1	NM_053056.3	1	1
LTO1	NM_153451.3	1	1
FGF19	NM_005117.3	1	1
FGF4	NM_002007.4	1	1
FGF3	NM_005247.4	1	1
LINC02584	NR_103835.1	1	1
FADD	NM_003824.3	1	1
MIR548K	NR_031624.1	1	1
SHANK2-AS1	NR_046567.1	1	1
SHANK2-AS3	NR_073536.1	1	1
MIR3664	NR_037437.1	1	1
FLJ42102	NR_038862.1	1	1
NADSYN1	NM_018161.5	1	1
MIR6754	NR_106812.1	1	1
KRTAP5-7	NM_001012503.2	1	1
KRTAP5-8	NM_021046.3	1	1
KRTAP5-9	NM_005553.3	1	1
KRTAP5-10	NM_001012710.2	1	1
KRTAP5-11	NM_001005405.3	1	1
ZNF705E	NM_001278713.1	1	1
DEFB108B	NM_001002035.2	1	1
LOC100133315	NR_029192.1	1	1
DEFB131B	NM_001242853.1	1	1
LOC100128494	NR_104178.1	1	1
MIR3165	NR_036123.1	1	1
LAMTOR1	NM_017907.3	1	1
INPPL1	NM_001567.4	1	1
PHOX2A	NM_005169.4	1	1
LINC01537	NR_126364.1	1	1
MIR139	NR_029603.1	1	1
ARAP1-AS2	NR_146780.1	1	1
STARD10	NM_006645.2	1	1
MIR4692	NR_039841.1	1	1
FCHSD2	NM_014824.3	1	1
LOC100287837	NR_147696.1	1	1
ARHGEF17	NM_014786.4	1	1
COA4	NM_016565.3	1	1
DNAJB13	NM_153614.3	1	1
UCP2	NM_003355.2	1	1
P4HA3-AS1	NR_120556.1	1	1
PGM2L1	NM_173582.6	1	1
MIR548AL	NR_039710.1	1	1
KCNE3	NM_005472.4	1	1
LOC100287896	NM_001319240.1	1	1
MIR4696	NR_039845.1	1	1
RNF169	NM_001098638.2	1	1
SPCS2	NM_014752.3	1	1
OR2AT4	NM_001005285.2	1	1
TPBGL	NM_001195528.2	1	1
MIR326	NR_029891.1	1	1
SNORD15A	NR_000005.1	1	1
SNORD15B	NR_000025.1	1	1
KLHL35	NM_001039548.2	1	1
LOC105369391	NR_145823.1	1	1
MOGAT2	NM_025098.4	1	1
LOC283214	NR_046090.1	1	1
UVRAG-DT	NR_144531.1	1	1
UVRAG	NM_003369.4	1	1
WNT11	NM_004626.3	1	1
GUCY2EP	NR_024042.1	1	1
B3GNT6	NM_138706.5	1	1
CAPN5	NM_004055.5	1	1
OMP	NM_006189.1	1	1
GDPD4	NM_182833.2	1	1
LOC646029	NR_130930.1	1	1
RSF1	NM_016578.3	1	1
INTS4	NM_033547.4	1	1
THRSP	NM_003251.4	1	1
KCTD21	NM_001029859.3	1	1
USP35	NM_020798.4	1	1
LINC02728	NR_120564.1	1	1
LOC101928896	NR_120566.1	1	1
TENM4	NM_001098816.3	1	1
MIR708	NR_030598.1	1	1
MIR5579	NR_049841.1	1	1
LINC02720	NR_120570.1	1	1
MIR4300HG	NR_120571.1	1	1
MIR4300	NR_036186.1	1	1
FAM181B	NM_175885.4	1	1
SNORA70E	NR_033347.1	1	1
RAB30-DT	NR_038903.1	1	1
PCF11-AS1	NR_133914.1	1	1
CCDC89	NM_152723.3	1	1
MIR6755	NR_106813.1	1	1
OR7E2P	NR_045004.1	1	1
FZD4	NM_012193.4	1	1
FZD4-DT	NR_038905.1	1	1
LINC02711	NR_135090.1	1	1
RAB38	NM_022337.3	1	1
MIR3166	NR_036124.1	1	1
GRM5-AS1	NR_049724.1	1	1
TYR	NM_000372.5	1	1
FOLH1B	NM_153696.2	1	1
TRIM49	NM_020358.2	1	1
TRIM64B	NM_001164397.2	1	1
TRIM49D1	NM_001206627.1	1	1
TRIM49D2	NM_001105522.1	1	1
TRIM64	NM_001136486.1	1	1
TRIM51EP	NR_146921.1	1	1
TRIM53AP	NR_028346.1	1	1
TRIM49C	NM_001195234.1	1	1
UBTFL1	NM_001143975.1	1	1
DISC1FP1	NR_104190.1	1	1
MIR4490	NR_039711.1	1	1
MIR1261	NR_031663.1	1	1
LINC02746	NR_135091.1	1	1
MTNR1B	NM_005959.3	1	1
DEUP1	NM_181645.3	1	1
SMCO4	NM_020179.3	1	1
CEP295	NM_033395.2	1	1
SCARNA9	NR_002569.2	1	1
SNORA25	NR_003028.1	1	1
SNORA32	NR_003032.1	1	1
SNORD6	NR_003036.1	1	1
SNORA1	NR_003026.1	1	1
SNORA8	NR_002920.1	1	1
SNORD5	NR_003033.1	1	1
MIR1304	NR_031639.1	1	1
SNORA40	NR_002973.1	1	1
MED17	NM_004268.5	1	1
VSTM5	NM_001144871.2	1	1
HEPHL1	NM_001098672.2	1	1
PANX1	NM_015368.4	1	1
IZUMO1R	NM_001199206.1	1	1
MIR548L	NR_031630.1	1	1
ANKRD49	NM_017704.3	1	1
C11orf97	NM_001190462.2	1	1
FUT4	NM_002033.3	1	1
PIWIL4	NM_152431.3	1	1
KDM4D	NM_018039.3	1	1
KDM4E	NM_001161630.1	1	1
ENDOD1	NM_015036.3	1	1
LOC101929295	NR_110303.1	1	1
LOC100129203	NR_110295.2	1	1
MAML2	NM_032427.4	1	1
MIR1260B	NR_036125.1	1	1
JRKL-AS1	NR_047481.1	1	1
LINC02737	NR_135097.1	1	1
LOC100128386	NR_133571.1	1	1
SNORD13I	NR_145747.1	1	1
PGR-AS1	NR_073144.1	1	1
TRPC6	NM_004621.6	1	1
MIR3920	NR_037485.1	1	1
ANGPTL5	NM_178127.5	1	1
TMEM123	NM_052932.3	1	1
LOC101928424	NR_135053.1	1	1
LOC102723838	NR_135076.1	1	1
MMP7	NM_002423.5	1	1
MMP20	NM_004771.4	1	1
MMP27	NM_022122.3	1	1
MMP10	NM_002425.3	1	1
WTAPP1	NR_038390.1	1	1
MMP3	NM_002422.5	1	1
MMP12	NM_002426.6	1	1
MMP13	NM_002427.4	1	1
MIR4693	NR_039842.1	1	1
DDI1	NM_001001711.3	1	1
LINC02552	NR_120585.1	1	1
CASP1P2	NR_131905.1	1	1
CARD17	NM_001007232.1	1	1
CARD18	NM_021571.4	1	1
AASDHPPT	NM_015423.3	1	1
LINC02719	NR_135099.1	1	1
CWF19L2	NM_152434.2	1	1
SLN	NM_003063.3	1	1
SLC35F2	NM_017515.5	1	1
RAB39A	NM_017516.3	1	1
CUL5	NM_003478.6	1	1
ACAT1	NM_000019.4	1	1
DDX10	NM_004398.4	1	1
C11orf87	NM_207645.4	1	1
ZC3H12C	NM_033390.2	1	1
LINC02732	NR_135100.2	1	1
FDX1	NM_004109.5	1	1
LINC02550	NR_149131.1	1	1
C11orf53	NM_198498.3	1	1
MIR4491	NR_039712.1	1	1
POU2AF1	NM_006235.3	1	1
LOC100132078	NR_046085.1	1	1
SIK2	NM_015191.3	1	1
TEX12	NM_031275.4	1	1
PTS	NM_000317.3	1	1
PLET1	NM_001145024.1	1	1
LOC100132686	NR_133566.1	1	1
LINC02762	NR_126004.1	1	1
LINC02764	NR_104155.1	1	1
LOC101928847	NR_120563.1	1	1
NCAM1-AS1	NR_034101.1	1	1
ANKK1	NM_178510.2	1	1
MIR4301	NR_036183.1	1	1
ZW10	NM_004724.4	1	1
CLDN25	NM_001101389.1	1	1
LOC101928940	NR_120567.1	1	1
REXO2	NM_015523.4	1	1
NXPE2	NM_182495.6	1	1
LOC105369509	NR_135108.1	1	1
LOC101928985	NR_135066.2	1	1
LINC00900	NR_034148.1	1	1
LINC02702	NR_135069.1	1	1
APOA4	NM_000482.4	1	1
APOC3	NM_000040.3	1	1
APOA1-AS	NR_126362.1	1	1
SIDT2	NM_001040455.2	1	1
LOC100652768	NR_045215.1	1	1
PCSK7	NM_004716.4	1	1
BACE1-AS	NR_037803.2	1	1
SMIM35	NM_001354434.2	1	1
SCN2B	NM_004588.5	1	1
CD3E	NM_000733.4	1	1
CD3G	NM_000073.2	1	1
BCL9L	NM_182557.3	1	1
MIR4492	NR_039713.1	1	1
UPK2	NM_006760.4	1	1
FOXR1	NM_181721.3	1	1
RPL23AP64	NR_003040.2	1	1
RPS25	NM_001028.3	1	1
H2AX	NM_002105.2	1	1
DPAGT1	NM_001382.4	1	1
CCDC153	NM_001145018.2	1	1
SNORD150	NR_145809.1	1	1
CBL	NM_005188.4	1	1
MCAM	NM_006500.3	1	1
MIR6756	NR_106814.1	1	1
RNF26	NM_032015.5	1	1
USP2-AS1	NR_034160.1	1	1
LOC102724301	NR_120587.1	1	1
LOC107984399	NR_159965.1	1	1
OAF	NM_178507.4	1	1
LOC649133	NR_038829.1	1	1
LOC105369532	NR_133008.1	1	1
LOC101929227	NR_132790.1	1	1
LOC101929208	NR_133004.1	1	1
TECTA	NM_005422.2	1	1
SORL1	NM_003105.6	1	1
MIR125B1	NR_029671.1	1	1
BLID	NM_001001786.3	1	1
MIRLET7A2	NR_029477.1	1	1
MIR10526	NR_162117.1	1	1
MIR100	NR_029515.1	1	1
BSX	NM_001098169.2	1	1
LOC341056	NR_027288.1	1	1
SNORD14E	NR_003125.2	1	1
SNORD14D	NR_001454.2	1	1
SNORD14C	NR_001453.2	1	1
CLMP	NM_024769.5	1	1
MIR4493	NR_039714.1	1	1
OR6X1	NM_001005188.1	1	1
OR6M1	NM_001005325.1	1	1
OR8D4	NM_001005197.1	1	1
OR4D5	NM_001001965.1	1	1
OR6T1	NM_001005187.1	1	1
OR10S1	NM_001004474.1	1	1
OR10G6	NM_001355219.1	1	1
OR10G4	NM_001004462.1	1	1
OR10G9	NM_001001953.1	1	1
OR10G8	NM_001004464.1	1	1
OR10G7	NM_001004463.1	1	1
OR10D3	NM_001355213.1	1	1
OR8G2P	NM_001291438.1	1	1
OR8G1	NR_045681.1	1	1
OR8G5	NM_001005198.1	1	1
OR8D1	NM_001002917.1	1	1
OR8D2	NM_001002918.1	1	1
OR8B2	NM_001005468.1	1	1
OR8B3	NM_001005467.1	1	1
OR8B4	NM_001005196.1	1	1
OR8B8	NM_012378.1	1	1
OR8B12	NM_001005195.1	1	1
OR8A1	NM_001005194.2	1	1
PANX3	NM_052959.3	1	1
SPA17	NM_017425.3	1	1
ESAM	NM_138961.3	1	1
LOC100507283	NR_103862.1	1	1
HEPACAM	NM_152722.5	1	1
HEPN1	NM_001037558.2	1	1
CCDC15	NM_025004.3	1	1
PKNOX2-AS1	NR_125759.1	1	1
PKNOX2	NM_022062.3	1	1
STT3A-AS1	NR_132372.1	1	1
PATE1	NM_138294.3	1	1
PATE2	NM_212555.3	1	1
PATE3	NM_001129883.4	1	1
PATE4	NM_001144874.1	1	1
VSIG10L2	NM_001365077.1	1	1
GSEC	NR_033839.1	1	1
KIRREL3-AS2	NR_046986.1	1	1
MIR3167	NR_036126.1	1	1
KIRREL3-AS3	NR_040078.1	1	1
LOC101929473	NR_120578.1	1	1
LINC02712	NR_120580.1	1	1
LINC02098	NR_146647.1	1	1
MIR6090	NR_106738.1	1	1
ETS1-AS1	NR_120581.1	1	1
LOC101929538	NR_135072.1	1	1
SENCR	NR_038908.1	1	1
LOC399975	NR_145484.1	1	1
BARX2	NM_003658.5	1	1
LINC01395	NR_120582.1	1	1
LINC00167	NR_024233.1	1	1
ST14	NM_021978.4	1	1
ZBTB44-DT	NR_148980.1	1	1
ADAMTS8	NM_007037.6	1	1
ADAMTS15	NM_139055.3	1	1
MIR8052	NR_107019.1	1	1
LINC02873	NR_164144.1	1	1
LINC02551	NR_125383.1	1	1
LOC103611081	NR_125382.1	1	1
LOC101929653	NR_110140.1	1	1
NTM-AS1	NR_126159.1	1	1
NTM-IT	NR_046820.1	1	1
LINC02743	NR_120444.1	1	1
IGSF9B	NM_001277285.2	1	1
LINC02731	NR_027276.1	1	1
VPS26B	NM_052875.5	1	1
ACAD8	NM_014384.2	1	1
GLB1L3	NM_001080407.3	1	1
LOC283177	NR_033852.1	1	1
LINC02714	NR_147836.1	1	1
LOC100507548	NR_135050.1	1	1
FAM138D	NR_026823.2	1	1
WASH8P	NR_130745.1	1	1
LOC574538	NR_033859.2	1	1
LOC101929384	NR_120475.1	1	1
LOC102723544	NR_120482.1	1	1
KDM5A	NM_001042603.3	1	1
B4GALNT3	NM_173593.4	1	1
LOC105369595	NR_134624.1	1	1
NINJ2-AS1	NR_122124.1	1	1
LINC00942	NR_028415.1	1	1
LOC107984507	NR_160736.1	1	1
FBXL14	NM_152441.3	1	1
MIR3649	NR_037422.1	1	1
ADIPOR2	NM_024551.3	1	1
CACNA2D4	NM_172364.5	1	1
LINC00940	NR_036546.1	1	1
CACNA1C-IT2	NR_046768.1	1	1
CACNA1C-AS4	NR_046578.1	1	1
CACNA1C-IT3	NR_046769.1	1	1
CACNA1C-AS2	NR_046579.1	1	1
CACNA1C-AS1	NR_045725.1	1	1
FKBP4	NM_002014.4	1	1
NRIP2	NM_031474.3	1	1
LOC100128253	NR_148995.1	1	1
LINC02417	NR_146865.1	1	1
THCAT155	NR_126055.1	1	1
CCND2	NM_001759.4	1	1
TIGAR	NM_020375.3	1	1
FGF23	NM_020638.3	1	1
FGF6	NM_020996.2	1	1
NDUFA9	NM_005002.5	1	1
GAU1	NR_110112.1	1	1
GALNT8	NM_017417.2	1	1
KCNA6	NM_002235.3	1	1
KCNA1	NM_000217.3	1	1
KCNA5	NM_002234.4	1	1
VWF	NM_000552.4	1	1
SNORA120	NR_145989.1	1	1
CD27-AS1	NR_015382.2	1	1
MRPL51	NM_016497.4	1	1
NCAPD2	NM_014865.4	1	1
SCARNA10	NR_004387.1	1	1
SCARNA11	NR_003012.1	1	1
ACRBP	NM_032489.3	1	1
LAG3	NM_002286.6	1	1
P3H3	NM_014262.5	1	1
LOC105369632	NR_135083.1	1	1
RPL13P5	NR_002803.2	1	1
DSTNP2	NR_033796.2	1	1
ENO2	NM_001975.3	1	1
MIR200CHG	NR_135032.1	1	1
MIR200C	NR_029779.1	1	1
MIR141	NR_029682.1	1	1
SCARNA12	NR_003010.1	1	1
LPCAT3	NM_005768.6	1	1
C1RL-AS1	NR_026947.1	1	1
CLSTN3	NM_014718.4	1	1
ACSM4	NM_001080454.1	1	1
GDF3	NM_020634.3	1	1
DPPA3	NM_199286.4	1	1
NANOGNB	NM_001145465.1	1	1
SLC2A3	NM_006931.3	1	1
FOXJ2	NM_018416.3	1	1
POU5F1P3	NR_036440.1	1	1
ZNF705A	NM_001004328.2	1	1
FAM66C	NR_026788.1	1	1
FAM86FP	NR_024254.1	1	1
LINC00937	NR_024420.1	1	1
CLEC4D	NM_080387.5	1	1
CLEC4E	NM_014358.4	1	1
PHC1	NM_004426.3	1	1
LINC00612	NR_034140.1	1	1
PZP	NM_002864.3	1	1
A2MP1	NR_040112.1	1	1
MIR1244-3	NR_036263.1	1	1
LOC642846	NR_024374.1	1	1
LINC02367	NR_120479.1	1	1
LOC101928030	NR_120481.1	1	1
LOC728715	NR_144634.1	1	1
DDX12P	NR_033399.1	1	1
OVOS	NR_153413.1	1	1
KLRB1	NM_002258.3	1	1
LOC105369728	NR_157802.1	1	1
CD69	NM_001781.2	1	1
CLEC2B	NM_005127.2	1	1
KLRF2	NM_001190765.1	1	1
LINC02470	NR_104634.2	1	1
CLEC12A-AS1	NR_135047.1	1	1
LOC102724020	NR_120484.1	1	1
CLEC9A	NM_207345.4	1	1
LINC02617	NR_159946.1	1	1
LOC101928100	NR_120430.1	1	1
KLRC2	NM_002260.3	1	1
KLRA1P	NR_028045.1	1	1
STYK1	NM_018423.3	1	1
LINC02366	NR_120463.1	1	1
TAS2R7	NM_023919.2	1	1
TAS2R8	NM_023918.1	1	1
TAS2R9	NM_023917.2	1	1
TAS2R10	NM_023921.1	1	1
TAS2R13	NM_023920.2	1	1
PRH2	NM_001110213.1	1	1
TAS2R50	NM_176890.2	1	1
TAS2R20	NM_176889.3	1	1
TAS2R19	NM_176888.2	1	1
TAS2R31	NM_176885.2	1	1
TAS2R46	NM_176887.2	1	1
TAS2R43	NM_176884.2	1	1
TAS2R30	NM_001097643.1	1	1
SMIM10L1	NM_001271592.2	1	1
TAS2R42	NM_181429.2	1	1
PRB3	NM_006249.5	1	1
LOC440084	NR_148969.1	1	1
LINC01252	NR_033890.1	1	1
ETV6	NM_001987.5	1	1
MIR1244-4	NR_128710.1	1	1
LRP6	NM_002336.3	1	1
LOH12CR2	NR_024061.1	1	1
DUSP16	NM_030640.3	1	1
CREBL2	NM_001310.4	1	1
GPR19	NM_006143.3	1	1
CDKN1B	NM_004064.4	1	1
MIR613	NR_030344.1	1	1
RPL13AP20	NR_003932.2	1	1
GPRC5D	NM_018654.1	1	1
HEBP1	NM_015987.5	1	1
HTR7P1	NR_002774.3	1	1
FAM234B	NM_020853.2	1	1
EMP1	NM_001423.3	1	1
LINC01559	NR_036555.1	1	1
GRIN2B	NM_000834.4	1	1
PLBD1	NM_024829.6	1	1
PLBD1-AS1	NR_120465.1	1	1
GUCY2C	NM_004963.4	1	1
H4-16	NM_175054.2	1	1
WBP11	NM_016312.3	1	1
C12orf60	NM_175874.4	1	1
SMCO3	NM_001013698.2	1	1
PDE6H	NM_006205.3	1	1
LINC01489	NR_120466.1	1	1
RERG-AS1	NR_046559.1	1	1
EPS8	NM_004447.6	1	1
STRAP	NM_007178.4	1	1
SLC15A5	NM_001170798.1	1	1
SKP1P2	NR_036619.1	1	1
LINC02378	NR_146522.1	1	1
MIR3974	NR_039770.1	1	1
CAPZA3	NM_033328.3	1	1
LINC02398	NR_040098.1	1	1
LINC02468	NR_146523.1	1	1
SLCO1B1	NM_006446.5	1	1
GOLT1B	NM_016072.5	1	1
GYS2	NM_021957.4	1	1
KCNJ8	NM_004982.4	1	1
LOC101928441	NR_120471.1	1	1
MIR920	NR_030625.1	1	1
LINC00477	NR_029451.2	1	1
C12orf77	NM_001101339.3	1	1
ETFRF1	NM_001001660.3	1	1
MIR4302	NR_036188.1	1	1
BHLHE41	NM_030762.3	1	1
ITPR2	NM_002223.4	1	1
INTS13	NM_018164.3	1	1
TM7SF3	NM_016551.3	1	1
C12orf71	NM_001080406.1	1	1
STK38L	NM_015000.4	1	1
ARNTL2-AS1	NR_109975.1	1	1
SMCO2	NM_001145010.1	1	1
REP15	NM_001029874.3	1	1
MANSC4	NM_001146221.2	1	1
KLHL42	NM_020782.2	1	1
LOC729291	NR_148936.1	1	1
LOC100506606	NR_103860.1	1	1
ERGIC2	NM_016570.3	1	1
OVCH1	NM_001353179.1	1	1
LOC645485	NR_135046.1	1	1
LINC00941	NR_040245.1	1	1
DDX11-AS1	NR_038927.2	1	1
OVOS2	NR_153414.1	1	1
FLJ13224	NR_026806.1	1	1
LINC02387	NR_146469.1	1	1
DENND5B-AS1	NR_046909.1	1	1
H3-5	NM_001013699.3	1	1
LINC02422	NR_135029.1	1	1
RESF1	NM_018169.4	1	1
YARS2	NM_001040436.3	1	1
SYT10	NM_198992.4	1	1
ALG10	NM_032834.4	1	1
CPNE8	NM_153634.3	1	1
ABCD2	NM_005164.4	1	1
SLC2A13	NM_052885.4	1	1
LINC02471	NR_146526.1	1	1
LRRK2	NM_198578.4	1	1
MUC19	NM_173600.2	1	1
ZCRB1	NM_033114.4	1	1
MIR7851	NR_107005.1	1	1
LINC02402	NR_110042.1	1	1
LINC02450	NR_135028.1	1	1
LINC02461	NR_146866.1	1	1
ADAMTS20	NM_025003.5	1	1
DBX2	NM_001004329.3	1	1
RACGAP1P	NR_026583.1	1	1
PLEKHA8P1	NR_037144.1	1	1
LINC00938	NR_028408.1	1	1
SCAF11	NM_004719.3	1	1
MIR4698	NR_039847.1	1	1
PCED1B-AS1	NR_026544.1	1	1
LOC105369747	NR_135024.1	1	1
MIR4494	NR_039715.1	1	1
LINC02156	NR_149087.1	1	1
SLC48A1	NM_017842.3	1	1
